nombre_propietario,cedula,telefono,correo,direccion,placa,id,codigo_interno,fecha_registro,año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
Ana Gómez,717212412,3142451438,anagómez454@gmail.com,"Avenida 16 #1-66, Bogotá",WNQ073,1954,CDA-32766,2024-07-03,1998.0,522515,,Hyundai,Gas,manual,4x4,PUBLICO,rural,yes,true,true,si,yes,,,1
Xiomara Pacheco,104618868,3022169835,xiomarapacheco330@gmail.com,"Diagonal 94 #39-44, Armenia",BUM-804,1447,CDA-39730,10/11/2021,2009.0,189318,3950,Peugeot,GNV,Mecanica,awd,PARTICULAR,suburbano,0,no,no,si,si,si,no,1
Mónica Aguirre,400815868,3189511303,,"Diagonal 96 #94-32, Neiva",UWQ-499,1207,CDA-16100,2023-06-01,2000.0,473k,4000,Kia,Gasolina,automatica,RWD,escolar,URBANO,yes,false,true,no,0,no,no,0
Patricia Díaz,490509956,3175834458,patriciadíaz40@gmail.com,"Avenida 1 #73-49, Armenia",EGY174,1508,CDA-44407,2024-10-07,2004.0,643295 km,4000 cc,Volkswagen,hibrido,Tiptronic,4x2,,Suburbano,true,no,yes,false,no,0,no,1
Patricia Díaz,882791417,3194718752,patricia_díaz81@live.com,"Carrera 11 #59-6, Barranquilla",XGG 029,3111,CDA-24244,2018/12/01,1996.0,456.025 km,1500,Mazda,eléctrico,mecánica,4x4,Taxi,Suburbano,1,no,si,no,true,si,yes,1
Ingrid Bermúdez,248007376,3019863259,ingrid.bermúdez479@gmail.com,"Circular 57 #51-9, Barranquilla",HOC-522,1018,CDA-51242,2019/10/27,2011.0,277.821 km,1500cc,Kia,GNV,mecánica,4X2,Carga,rural,true,no,0,false,false,no,0,1
Mónica Aguirre,393184604,3233341457,mónica-aguirre685@correo.com,"Carrera 44 #64-16, Cali",XZZ-120,502,CDA-76315,2021-11-30,2012.0,471847,1500cc,Nissan,,Manual,awd,TAXI,RURAL,,0,si,si,0,1,no,1
Darío Acosta,957506371,3186208560,darío_acosta520@correo.com,"Diagonal 111 #31-20, Armenia",BJE-509,2286,CDA-68463,2024/12/31,2024.0,0,2000,Mazda,GASOLINA,cvt,4X2,Taxi,Mixto,1,0,0,no,no,0,no,1
Patricia Mejía,422727887,3206224899,patricia_mejía479@yahoo.com,"Avenida 108 #25-28, Barranquilla",TKE 899,2379,CDA-82412,13-07-2018,2023.0,268041,2500cc,Toyota,hibrido,Tiptronic,rwd,Taxi,RURAL,false,no,false,no,0,,0,1
Adriana Parra,1013325137,3026007822,adriana.parra159@hotmail.com,"Avenida 22 #11-62, Ibagué",JOY106,1536,CDA-47568,2019-06-03,2004.0,156476,3500,Nissan,GASOLINA,manul,rwd,particular,rural,0,si,false,si,0,false,false,1
Fabio Arévalo,434502954,3024949712,fabio-arévalo118@gmail.com,"Calle 93 #4-14, Cúcuta",OAU-631,1739,CDA-30224,28-04-2023,2011.0,417.654,1300,Ford,gasolina,manul,fwd,Escolar,Urbano,no,0,true,no,false,false,1,1
Andrés Torres,957064787,3198953858,andrés_torres792@hotmail.com,"Circular 26 #84-82, Neiva",PNQ943,487,CDA-80658,2023/08/07,1996.0,564219,1500,Mazda,diesel,,4x2,taxi,RURAL,no,si,0,true,no,no,,1
Ernesto Pineda,1092191810,3176281712,ernesto.pineda532@yahoo.com,"Avenida 38 #83-4, Medellín",EFA149,1610,CDA-24418,11-06-2021,2001.0,531469,1400,Kia,gasolina,CVT,RWD,Escolar,rural,0,no,1,1,yes,no,no,1
Claudia Vargas,103309105,3223094235,claudiavargas81@live.com,"Circular 80 #47-74, Barranquilla",BFH021,1,CDA-57819,26/12/2021,2018.0,172.352,1100 cc,Chevrolet,hibrido,cvt,rwd,público,Rural,0,1,0,no,0,no,false,1
Marcela Fuentes,329356475,3044415600,marcela_fuentes631@gmail.com,"Avenida 69 #9-73, Barranquilla",KHE293,597,CDA-50138,14-07-2021,2005.0,436542 km,1500,Renault,GSL,Automatio,4X4,publico,suburbano,no,no,false,no,,no,no,0
Luis Rodríguez,975537720,3195587957,luis-rodríguez517@correo.com,"Calle 71 #83-94, Medellín",AIT246,1750,CDA-97254,12-10-2019,2023.0,32507,3950,Renault,DIESEL,automatica,AWD,,Suburbano,no,false,no,si,false,false,0,0
Omar Leal,353655122,3236315633,omar.leal187@gmail.com,"Calle 23 #42-1, Cúcuta",SGR111,3168,CDA-58853,2022/05/18,2004.0,314.224 km,1050,Nissan,gas,autom,4X4,,urbano,true,0,yes,no,false,false,true,0
Natalia Reyes,17003134,3248297488,nataliareyes341@correo.com,"Circular 75 #27-33, Manizales",NAD292,433,CDA-65303,2021/12/02,1996.0,643424,1600,Volkswagen,GSL,automatica,4x2,Carga,rural,yes,no,yes,true,yes,no,si,1
Laura García,901553968,3173429470,laura.garcía707@hotmail.com,"Avenida 33 #92-48, Cartagena",BIR149,2612,CDA-46826,25/08/2019,2004.0,197608,2500,Chevrolet,Gas,MANUAL,4x4,particular,Urbano,si,0,si,si,0,yes,1,1
José Hernández,228995939,3216308460,,"Circular 57 #18-31, Bucaramanga",ZAK928,2793,CDA-73702,2019-06-10,2002.0,481855,1150,Suzuki,GAS,mecánica,awd,TAXI,urbano,no,si,yes,,,no,false,1
Marcela Fuentes,87125825,3507072816,marcela_fuentes571@outlook.com,"Avenida 41 #19-52, Bucaramanga",AES068,1290,CDA-67038,21-04-2024,2012.0,106239,1800cc,Kia,hibrido,Manual,4x2,escolar,suburbano,si,,yes,,false,true,no,1
Patricia Mejía,728617542,3118125225,patricia.mejía375@live.com,"Calle 14 #79-93, Montería",RQN-203,1905,CDA-32412,12-07-2023,2020.0,96k,3050,Kia,GAS,MANUAL,,publico,suburbano,0,false,0,false,false,no,0,0
Patricia Díaz,625184472,3106639011,patricia_díaz608@outlook.com,"Calle 11 #11-95, Bogotá",LXY761,212,CDA-14284,11-02-2022,1998.0,871435,1400,Dodge,GSL,Manual,4X4,escolar,Suburbano,true,yes,false,yes,yes,true,yes,1
Marcela Fuentes,742905965,3011520634,marcela.fuentes52@live.com,"Circular 58 #32-15, Manizales",AWI832,1581,CDA-12459,07-03-2018,1998.0,413466,2000,Volkswagen,GASOLINA,semiautomatica,RWD,Particular,mixto,1,no,true,yes,no,0,0,0
Fabio Arévalo,971699171,3142493623,fabio-arévalo395@yahoo.com,"Calle 33 #43-5, Bogotá",JSM079,271,CDA-70870,27-03-2019,2018.0,214857,1300,Honda,eléctrico,,4X2,Carga,suburbano,1,0,no,no,0,yes,false,1
Ernesto Pineda,59482168,3194972015,ernestopineda892@live.com,"Carrera 46 #1-41, Armenia",ABO 637,2349,CDA-36654,2022-05-12,2003.0,634k,1200,Chevrolet,gasolina,,rwd,publico,Rural,si,1,true,true,yes,yes,no,1
José Hernández,716242196,3187673420,josé_hernández995@yahoo.com,"Carrera 100 #65-53, Pasto",IDN122,2081,CDA-43035,2018-12-08,1995.0,725k,1000,Hyundai,GSL,manual,fwd,PUBLICO,RURAL,no,si,1,,si,0,si,1
Marcela Fuentes,93061464,3101134134,marcelafuentes585@outlook.com,"Diagonal 13 #54-43, Cartagena",WIZ852,3036,CDA-73952,2022-10-28,2020.0,113406 km,3500,Toyota,DIESEL,mecánica,RWD,escolar,Rural,no,no,0,,,no,no,0
Mauricio Ruiz,1031689677,3001623330,mauricioruiz927@hotmail.com,"Diagonal 65 #7-59, Cali",SUA564,3021,CDA-90359,2021-11-09,1999.0,850049,1300cc,Kia,Gas,semiautomatica,RWD,Publico,Suburbano,false,1,no,no,no,1,no,1
Andrés Torres,240501962,3183485821,,"Transversal 50 #2-75, Bucaramanga",QRL 931,150,CDA-11195,05/01/2022,1995.0,789594,1100,Nissan,diesel,tiptronic,4x4,carga,Suburbano,si,false,0,no,no,no,0,0
Marcela Fuentes,190743894,3227582793,marcela_fuentes821@gmail.com,"Carrera 69 #26-93, Montería",MIJ690,3151,CDA-50455,2019-06-08,2021.0,93944,4000,Fiat,GSL,cvt,rwd,publico,Urbano,si,0,,0,false,false,false,1
Alejandro Zapata,294560028,3019796201,alejandrozapata29@hotmail.com,"Circular 27 #97-70, Neiva",LPH071,2148,CDA-17260,2019/10/26,2022.0,37k,1000,Dodge,DIESEL,manual,4x4,taxi,Urbano,0,si,false,no,no,0,0,0
Camilo Rojas,679136379,3124891833,camilorojas433@outlook.com,"Diagonal 17 #48-44, Bucaramanga",DCT-949,2726,CDA-77391,30-08-2024,1998.0,650.720,3500,Peugeot,GSL,cvt,4x4,TAXI,RURAL,1,1,si,si,si,,no,1
Xiomara Pacheco,863562147,,xiomara_pacheco40@yahoo.com,"Circular 100 #68-83, Cali",ZGC590,2251,CDA-72165,2020/06/28,2023.0,24043,1000 cc,Kia,GAS,manul,4x4,TAXI,suburbano,false,no,0,no,no,0,no,0
Guillermo Ávila,894090694,3194180586,guillermo_ávila553@outlook.com,"Carrera 12 #73-87, Cúcuta",BRD-453,1448,CDA-23053,2022-07-16,2014.0,176386,2000,Volkswagen,GASOLINA,AUTOMATICA,4x2,Particular,Urbano,no,no,1,no,0,no,no,1
Marcela Fuentes,919117979,3117548535,marcelafuentes317@yahoo.com,"Transversal 41 #35-80, Montería",LCK507,1481,CDA-49515,08/08/2019,1999.0,760446 km,1200,Mitsubishi,Gasolina,Mecanica,4x2,Taxi,mixto,si,false,no,true,0,si,si,1
Sebastián Cruz,124937365,3129220815,sebastián_cruz652@correo.com,"Circular 27 #66-72, Cali",XXX316,2097,CDA-69170,2018-10-10,1999.0,750.715,4000,Ford,eléctrico,manual,AWD,taxi,mixto,no,true,no,false,true,no,1,1
Gustavo Barrera,539246874,3025495824,gustavo-barrera758@outlook.com,"Calle 12 #1-40, Cartagena",HDE454,34,CDA-22198,2021/08/21,1800.0,187k,4000,Mazda,Electrico,cvt,AWD,carga,Mixto,0,0,1,no,false,no,no,1
Alejandro Zapata,83498295,3171805615,alejandro-zapata15@hotmail.com,"Carrera 21 #51-42, Bogotá",MIQ854,180,CDA-81549,18-02-2021,2023.0,45k,2900,Nissan,eléctrico,AUTOMATICA,awd,público,URBANO,0,no,no,0,0,false,false,0
Alejandro Zapata,989267060,3196000874,alejandro_zapata317@hotmail.com,"Diagonal 39 #66-1, Cartagena",GKL-284,1365,CDA-50545,2024/03/09,2009.0,509614,1200,Mazda,gas,tiptronic,4x4,taxi,Mixto,1,no,si,si,false,si,no,1
Andrés Torres,153729102,3017874313,andréstorres836@yahoo.com,"Calle 100 #87-85, Bogotá",COL476,953,CDA-10917,2024/03/30,2005.0,177993,1100,Peugeot,nafta,CVT,awd,PARTICULAR,Suburbano,false,1,false,0,0,0,si,0
Gustavo Barrera,157549951,3136375076,gustavo-barrera826@correo.com,"Transversal 120 #42-25, Ibagué",CKX 800,1843,CDA-58078,18-10-2022,2016.0,167076,2000,Toyota,Gas Natural,manul,4x2,Taxi,mixto,false,false,false,no,yes,no,false,0
Patricia Díaz,628070140,3152194156,,"Diagonal 71 #22-95, Cali",PEF948,1919,CDA-52380,04/02/2020,2005.0,270623,1400,Hyundai,Gasolina,Automatio,4x4,PARTICULAR,URBANO,0,0,false,no,no,0,no,0
Marcela Fuentes,720625857,3189270719,marcela-fuentes431@outlook.com,"Carrera 110 #36-92, Pasto",XUZ036,966,CDA-61020,2024/04/06,1995.0,1038225,3450,Dodge,gas,tiptronic,RWD,Taxi,RURAL,si,1,no,0,no,0,yes,1
Claudia Vargas,674405703,3005999083,claudia.vargas223@correo.com,"Carrera 3 #28-97, Cali",NSH637,529,CDA-40050,2022-08-20,2007.0,458114,950,Nissan,DIESEL,autom,FWD,Publico,urbano,no,0,false,no,1,yes,no,1
Ingrid Bermúdez,987737551,3236260144,ingrid_bermúdez360@outlook.com,"Diagonal 94 #65-12, Armenia",BXU165,3130,CDA-45948,2022-05-12,2000.0,525931,2400,Hyundai,gasolina,MANUAL,4X2,público,suburbano,yes,0,yes,1,false,0,0,1
Felipe Ramos,442799587,3181643565,felipe_ramos376@yahoo.com,"Circular 115 #35-25, Pasto",AYZ883,1840,CDA-69117,,2015.0,126571,4000,Mazda,diesel,semiautomatica,FWD,particular,Mixto,0,no,no,no,si,false,no,0
Laura García,347889292,3006422544,laura-garcía645@outlook.com,"Transversal 55 #67-68, Pereira",GZN565,450,CDA-89585,23/10/2023,2006.0,307k,1300,Toyota,nafta,Tiptronic,awd,Escolar,mixto,,false,0,no,no,false,no,1
,642560640,3154009142,alejandro_zapata868@correo.com,,CJK486,777,CDA-91961,2023/05/20,2017.0,136825 km,1400,Dodge,Híbrido,AUTOMATICA,FWD,público,urbano,0,si,false,true,yes,si,no,1
Ingrid Bermúdez,190947227,3102630689,ingrid.bermúdez353@gmail.com,"Calle 91 #68-59, Barranquilla",HNE016,2381,CDA-86614,2019/02/21,2001.0,408751,1000,Suzuki,gnv,CVT,FWD,Taxi,Mixto,yes,0,0,true,0,true,no,1
Camilo Rojas,404999904,3243845700,camilo-rojas884@hotmail.com,"Circular 105 #73-96, Cartagena",QWJ546,479,CDA-22372,27/08/2020,2019.0,240458,2400,Ford,diesel,cvt,rwd,PUBLICO,Rural,yes,false,0,,0,no,no,1
Natalia Reyes,129144993,3242021618,natalia.reyes192@gmail.com,"Circular 84 #70-85, Armenia",UTM 442,2253,CDA-75143,28-10-2018,2005.0,160924,2550,Honda,Electrico,MANUAL,4x4,particular,suburbano,si,si,no,no,false,1,no,1
Laura García,942918895,3029007659,lauragarcía884@correo.com,"Avenida 52 #74-88, Montería",CFD070,2856,CDA-41793,09/06/2024,2024.0,0 km,2400,Mitsubishi,GSL,Automatio,fwd,publico,,1,si,no,no,no,0,0,0
Ingrid Bermúdez,749684428,3009651709,ingrid_bermúdez145@live.com,"Calle 88 #85-4, Cartagena",WWT872,2928,CDA-21442,2018-04-13,2015.0,239493,2550,Fiat,gas,mecánica,,público,URBANO,false,0,no,false,false,yes,no,1
Ana Gómez,129710019,3108460953,ana_gómez415@outlook.com,"Diagonal 81 #57-60, Neiva",OIA446,1851,CDA-86178,25/01/2022,2014.0,120919,,Kia,Gas Natural,manul,AWD,PARTICULAR,Mixto,0,si,no,si,no,0,no,1
Viviana Suárez,402032918,3057372890,viviana.suárez567@outlook.com,"Calle 109 #51-28, Bucaramanga",YRK644,1045,CDA-59357,21/03/2024,2016.0,113.785 km,3500,Hyundai,GNV,semiautomatica,,,rural,no,no,false,true,no,no,no,0
Darío Acosta,343089006,3508829247,daríoacosta412@correo.com,"Transversal 28 #63-87, Bucaramanga",LTV521,2715,CDA-25790,2019/01/02,2010.0,388603,2900,Ford,eléctrico,Automática,awd,Escolar,Mixto,no,0,si,false,no,false,no,1
Diana Herrera,1079376454,3211598865,diana.herrera115@hotmail.com,"Diagonal 24 #11-98, Pasto",GPL 150,189,CDA-34768,2021-07-26,2023.0,18649,1500,Fiat,GSL,cvt,AWD,Publico,mixto,yes,0,no,,false,no,false,1
Esperanza Vega,979248553,3167757721,esperanza-vega193@live.com,"Avenida 17 #67-60, Cartagena",SOB 036,1941,CDA-33028,2018/01/08,2011.0,355.034,4000,Nissan,Electrico,manul,fwd,Escolar,urbano,no,true,no,false,false,no,,1
Sandra Castro,173768931,3052936402,sandracastro168@correo.com,"Circular 115 #36-22, Medellín",RJR409,1371,CDA-79917,08/02/2020,2004.0,474.058,1600cc,Hyundai,GSL,autom,rwd,público,suburbano,no,0,0,,no,true,no,1
Mónica Aguirre,241451167,3026943105,mónicaaguirre857@gmail.com,"Carrera 40 #84-33, Villavicencio",SXG 641,1661,CDA-51711,10-11-2022,2023.0,259017,1800,Honda,DIESEL,semiautomatica,4x2,PARTICULAR,Urbano,no,no,no,false,false,0,no,0
Héctor Montoya,1090917414,3199295610,héctor_montoya298@correo.com,"Transversal 92 #70-40, Cúcuta",WUU763,2819,CDA-17350,2019-08-12,2016.0,265647,1400,Honda,Electrico,manul,4x4,PARTICULAR,mixto,no,1,no,false,0,no,no,0
Camilo Rojas,117046449,3505443213,camilo_rojas715@gmail.com,"Carrera 102 #13-86, Barranquilla",APH736,1399,CDA-59851,2018-09-29,2019.0,170015,2500,Toyota,GSL,Tiptronic,4X2,publico,mixto,no,no,si,true,0,true,false,0
Mauricio Ruiz,82212818,3216588657,mauricio.ruiz82@gmail.com,"Circular 58 #47-11, Armenia",OOR150,2684,CDA-47681,2021/10/24,1997.0,823203,3500,Renault,Gas,mecánica,4X2,carga,urbano,0,true,false,,false,true,si,1
Esperanza Vega,934776922,3211980425,esperanzavega469@gmail.com,"Transversal 95 #56-77, Manizales",BJA-137,1072,CDA-14421,27-03-2019,2002.0,628k,1500,Toyota,DIESEL,tiptronic,4X4,PUBLICO,Mixto,true,si,no,si,false,yes,no,1
Catalina Ortiz,126407899,3214667103,catalina.ortiz629@hotmail.com,"Transversal 112 #8-26, Cúcuta",IDY106,3134,CDA-86936,18/09/2018,2013.0,238999,2500,Renault,Híbrido,manul,AWD,PARTICULAR,suburbano,si,yes,no,false,no,no,no,0
Héctor Montoya,688676540,3169834199,héctor.montoya383@hotmail.com,"Avenida 10 #27-32, Ibagué",LGS973,325,CDA-71281,2021/07/31,1995.0,506191,2300,Ford,GASOLINA,cvt,FWD,Publico,Mixto,1,si,no,,0,1,1,1
Fabio Arévalo,154803279,3005452069,fabio_arévalo421@hotmail.com,"Circular 78 #73-87, Cali",MWC951,2015,CDA-96677,08/03/2021,2009.0,468k,4000,Honda,eléctrico,MANUAL,4X4,Publico,Suburbano,false,false,0,no,0,true,no,0
Jhon Morales,554387210,3181058068,jhon_morales532@outlook.com,"Diagonal 35 #33-7, Cartagena",BWZ 676,2721,CDA-15877,2021-03-03,2024.0,0,2200,Chevrolet,diesel,Manual,AWD,publico,mixto,si,false,0,,no,false,no,1
Yolanda Cárdenas,607895218,3203426733,yolanda.cárdenas440@yahoo.com,"Carrera 90 #38-36, Bogotá",KVM789,247,CDA-43907,2024-06-05,2014.0,214379,3500,Chevrolet,Gasolina,tiptronic,rwd,carga,urbano,si,no,no,yes,no,,0,1
Sebastián Cruz,84500384,3108542373,sebastiáncruz308@gmail.com,"Circular 68 #20-24, Cali",YZE609,1375,CDA-21953,01/05/2022,2017.0,252236,3500,Dodge,GASOLINA,Tiptronic,4x4,Escolar,suburbano,false,si,no,false,false,0,no,1
Diana Herrera,639903230,3191926615,dianaherrera335@gmail.com,"Diagonal 82 #78-22, Manizales",ATA571,799,CDA-99522,,2002.0,554.672 km,1000,Kia,Gas,AUTOMATICA,awd,TAXI,mixto,,0,false,0,false,,no,0
Gloria Mendoza,508227293,3181593608,gloria_mendoza14@correo.com,"Carrera 88 #5-83, Pasto",AYS-487,2648,CDA-17329,11/04/2023,2019.0,72.3k km,1200,Volkswagen,Gas Natural,Automática,rwd,taxi,Rural,no,1,yes,1,yes,no,true,1
Guillermo Ávila,387336335,3106225349,guillermoávila827@gmail.com,"Calle 95 #15-9, Cartagena",MRJ112,719,CDA-54158,23-10-2022,2017.0,155.9k km,1800,Nissan,gnv,Automática,rwd,TAXI,Suburbano,no,true,0,,false,false,false,1
Iván Salcedo,694488878,3109731416,iván-salcedo649@correo.com,"Diagonal 24 #29-75, Bogotá",DWD496,2127,CDA-87795,2022-08-01,1995.0,280903,3500,Dodge,,Tiptronic,4x4,Particular,mixto,1,yes,yes,0,no,no,no,1
Darío Acosta,888861352,3249007953,,"Circular 113 #13-2, Villavicencio",VTT842,2846,CDA-36053,2020-08-07,2001.0,385.715 km,1050,Mazda,Gas,Automatio,FWD,escolar,Mixto,true,0,false,true,no,no,no,1
Yolanda Cárdenas,685098836,3143778181,yolanda_cárdenas499@outlook.com,"Carrera 37 #34-78, Montería",GHC551,158,CDA-80756,2020-03-10,2019.0,142.768,1300,Hyundai,GSL,Automatio,4X2,Taxi,URBANO,0,true,false,false,true,yes,no,0
Patricia Díaz,693230020,3141044636,patricia_díaz465@live.com,"Diagonal 20 #21-74, Pereira",VQN 503,539,CDA-15735,04/09/2018,2019.0,97.641,2200,Volkswagen,gas,Automática,fwd,Particular,Rural,false,false,no,si,no,1,no,0
Esperanza Vega,413256773,3169394778,esperanzavega19@gmail.com,"Carrera 39 #5-18, Armenia",UFX152,2970,CDA-80829,12/04/2020,2008.0,432k,2000,Mazda,DIESEL,AUTOMATICA,,PUBLICO,Rural,si,false,1,yes,no,1,0,1
Iván Salcedo,538527761,3227868690,iván.salcedo550@gmail.com,"Transversal 102 #68-5, Montería",NFP908,622,CDA-74092,03/03/2018,2009.0,428040,1400,Hyundai,Gas,cvt,4X2,taxi,RURAL,,1,false,no,no,si,0,1
Claudia Vargas,644674928,3042119705,claudia.vargas862@hotmail.com,"Diagonal 58 #6-90, Bogotá",TPO-220,941,CDA-75308,05/12/2022,1996.0,258.7k km,1200,Toyota,DIESEL,cvt,rwd,Particular,mixto,1,false,no,yes,si,false,true,0
Héctor Montoya,335123530,3047159537,héctor_montoya878@yahoo.com,"Diagonal 59 #19-64, Medellín",VSZ-154,2230,CDA-44576,20/08/2019,1999.0,488.345 km,3050,Suzuki,GASOLINA,cvt,4x2,PARTICULAR,suburbano,si,1,true,,0,yes,0,1
Ana Gómez,103456986,3015579368,ana.gómez149@correo.com,"Transversal 84 #52-10, Villavicencio",FPZ-272,1934,CDA-38540,2024/08/04,2012.0,290464,2200,Dodge,DIESEL,manual,awd,carga,Suburbano,0,yes,1,0,0,no,0,1
Guillermo Ávila,173180551,3151359959,guillermo.ávila231@correo.com,"Carrera 20 #46-99, Cúcuta",SCA110,1065,CDA-50367,2024-02-02,2005.0,254.011 km,2450,Mitsubishi,Diesel,autom,fwd,particular,URBANO,si,no,no,,false,true,0,0
Ingrid Bermúdez,683282614,3227461354,ingridbermúdez988@yahoo.com,,DVQ384,692,CDA-44143,2019/02/26,2003.0,707.594,2600,Mitsubishi,nafta,cvt,AWD,Taxi,Urbano,0,true,no,no,1,no,1,1
José Hernández,654906588,3054152231,josé.hernández362@yahoo.com,"Calle 68 #68-48, Cartagena",IXJ600,2779,CDA-13738,2018-08-01,2000.0,588882,2400,Mazda,nafta,Tiptronic,fwd,Escolar,suburbano,0,,,0,false,no,false,0
Natalia Reyes,366136186,3119959364,nataliareyes72@live.com,"Carrera 9 #53-13, Manizales",AVJ368,2611,CDA-20279,2019-08-04,2016.0,239.091 km,3000,Dodge,GASOLINA,Mecanica,4X2,TAXI,Suburbano,no,false,no,,no,no,,0
Sandra Castro,527215138,3234882892,sandra.castro284@outlook.com,"Circular 104 #41-84, Pasto",SPW683,595,CDA-42109,2024-12-30,2022.0,65k,1000 cc,Kia,DIESEL,manual,4x2,público,RURAL,true,,no,no,no,0,0,1
Catalina Ortiz,478456575,3501013960,catalina.ortiz202@yahoo.com,"Avenida 47 #14-2, Pasto",QNY 529,2128,CDA-54099,31/03/2020,2005.0,633k,2200 cc,Chevrolet,Gas,manul,awd,taxi,rural,0,false,true,false,no,false,0,1
José Hernández,258775599,3244975284,josé_hernández117@yahoo.com,"Circular 78 #44-14, Montería",ZCS-652,2032,CDA-54987,06/02/2021,2004.0,353968,1550,Kia,gasolina,Mecanica,4X4,público,Rural,si,no,no,true,false,true,no,1
Adriana Parra,474913488,3052613316,adrianaparra205@outlook.com,"Circular 71 #72-53, Villavicencio",QKP 072,2385,CDA-65712,2024/10/21,2010.0,353443,2200,Mitsubishi,GAS,MANUAL,rwd,taxi,mixto,yes,si,true,0,yes,true,,1
Adriana Parra,812237454,,adriana.parra267@yahoo.com,"Avenida 36 #20-65, Pereira",COP113,1407,CDA-67759,2022/05/18,2003.0,301k,3500,Kia,Gasolina,Manual,rwd,público,suburbano,no,si,,0,1,false,false,1
Alejandro Zapata,475089097,3225997770,alejandrozapata869@live.com,"Carrera 49 #30-62, Pasto",EZT009,2882,CDA-19278,2023-07-28,2003.0,310289,1100,Mitsubishi,GNV,cvt,awd,PARTICULAR,Mixto,,0,1,1,,no,0,1
Andrés Torres,507047711,3502943542,andrés.torres318@yahoo.com,"Transversal 47 #54-1, Ibagué",UUX428,412,CDA-12854,11-12-2020,2013.0,182217,1250,Fiat,Híbrido,AUTOMATICA,RWD,Carga,suburbano,no,no,no,no,no,0,0,1
Gloria Mendoza,561470790,3204972187,gloria-mendoza458@correo.com,"Carrera 21 #54-95, Manizales",QVS432,2459,CDA-85358,06/04/2020,2020.0,68994,4000,Ford,GASOLINA,Tiptronic,4x2,particular,urbano,0,no,no,false,no,no,false,0
Carlos Martínez,1055913343,3247291774,carlos.martínez655@yahoo.com,"Avenida 57 #37-15, Cartagena",TIU411,176,CDA-21535,04-09-2021,2007.0,318279 km,1200cc,Peugeot,Electrico,autom,awd,Particular,Mixto,0,true,false,no,no,si,no,0
Patricia Mejía,48101333,3502544631,patricia.mejía861@yahoo.com,"Carrera 32 #65-70, Bucaramanga",OII941,950,CDA-60360,06-09-2024,2002.0,590151,1600,Renault,Gasolina,mecánica,4x2,Taxi,URBANO,no,true,0,no,no,1,1,1
Sebastián Cruz,59483883,3177309659,sebastiáncruz390@hotmail.com,"Circular 41 #12-93, Villavicencio",WWP-355,3012,CDA-96050,22-07-2023,1996.0,587050,1300 cc,Peugeot,DIESEL,autom,4x4,PARTICULAR,URBANO,true,no,no,no,yes,1,0,1
Lina Santana,220786129,3009577406,,"Circular 46 #66-89, Cartagena",HRM-668,555,CDA-61652,11-06-2019,2010.0,385.448,1500,Dodge,gasolina,MANUAL,4X4,Escolar,mixto,no,,0,true,no,false,false,1
Gloria Mendoza,647231194,3008271452,gloria-mendoza972@hotmail.com,"Calle 9 #99-11, Barranquilla",XKT 059,1337,CDA-35252,2023-09-14,2005.0,232554 km,1400cc,Dodge,Gasolina,,,Particular,RURAL,,yes,no,si,si,si,1,1
Mónica Aguirre,1087327106,3199735965,mónica.aguirre760@hotmail.com,"Avenida 73 #68-74, Cúcuta",LIZ154,3040,CDA-26181,2021-06-12,2017.0,256.228,2500cc,Mazda,GSL,Tiptronic,RWD,público,mixto,yes,0,no,false,false,no,no,0
Guillermo Ávila,688784939,3055461617,guillermo-ávila194@outlook.com,"Circular 115 #90-94, Villavicencio",RBX 249,2911,CDA-73527,11-12-2021,1997.0,566594 km,1500,Mazda,,AUTOMATICA,4x2,publico,urbano,no,no,no,,1,no,,1
Iván Salcedo,866131852,3111661698,iván-salcedo658@hotmail.com,"Carrera 59 #40-20, Montería",RSM423,2299,CDA-25390,25-12-2019,2008.0,478054 km,2200 cc,Dodge,Gasolina,mecánica,awd,carga,mixto,0,1,no,false,,false,si,1
Lina Santana,264154412,3165113753,linasantana672@live.com,"Transversal 91 #71-16, Pereira",NJF 238,2347,CDA-16189,17-03-2019,2013.0,220310,1300,Chevrolet,diesel,Mecanica,4x2,PARTICULAR,RURAL,no,no,false,no,0,no,no,1
Yolanda Cárdenas,485078358,3101114562,yolanda_cárdenas481@outlook.com,"Diagonal 2 #49-87, Villavicencio",GDD709,2184,CDA-72233,2018-07-17,2006.0,635334 km,1300cc,Peugeot,GSL,Manual,4x4,publico,Urbano,si,yes,0,,no,no,no,1
Darío Acosta,735524648,3111237358,darío.acosta545@hotmail.com,"Carrera 38 #43-25, Cali",PMO 512,2021,CDA-33653,2023-02-11,2021.0,76348,1600 cc,Suzuki,Gas Natural,Automatio,4x4,carga,Rural,0,0,false,no,no,false,false,0
Patricia Díaz,875555016,3182910698,patricia_díaz729@hotmail.com,"Calle 31 #19-18, Neiva",TKB513,2172,CDA-68883,09-02-2020,2006.0,439746,1100,Hyundai,Gasolina,,fwd,TAXI,urbano,yes,1,si,true,,1,no,1
Sandra Castro,606379776,3221397868,sandra-castro888@outlook.com,"Calle 86 #47-29, Manizales",EPB227,2283,CDA-72391,24-11-2018,0.0,0k,3500 cc,Kia,Diesel,cvt,,,urbano,0,no,no,no,no,false,no,0
